ecosystem,package,version,license
rust,acto,0.7.4,Apache-2.0 OR MIT
rust,addr2line,0.25.1,Apache-2.0 OR MIT
rust,adler2,2.0.1,0BSD OR Apache-2.0 OR MIT
rust,aead,0.5.2,Apache-2.0 OR MIT
rust,aead,0.6.0-rc.2,Apache-2.0 OR MIT
rust,ahash,0.8.12,Apache-2.0 OR MIT
rust,aho-corasick,1.1.4,MIT OR Unlicense
rust,allocator-api2,0.2.21,Apache-2.0 OR MIT
rust,android_system_properties,0.1.5,Apache-2.0 OR MIT
rust,anes,0.1.6,Apache-2.0 OR MIT
rust,anstream,0.6.21,Apache-2.0 OR MIT
rust,anstyle,1.0.13,Apache-2.0 OR MIT
rust,anstyle-parse,0.2.7,Apache-2.0 OR MIT
rust,anstyle-query,1.1.5,Apache-2.0 OR MIT
rust,anstyle-wincon,3.0.11,Apache-2.0 OR MIT
rust,anyhow,1.0.100,Apache-2.0 OR MIT
rust,approx,0.5.1,Apache-2.0
rust,argon2,0.5.3,Apache-2.0 OR MIT
rust,arrayref,0.3.9,BSD-2-Clause
rust,arrayvec,0.7.6,Apache-2.0 OR MIT
rust,askama,0.12.1,Apache-2.0 OR MIT
rust,askama,0.14.0,Apache-2.0 OR MIT
rust,askama_derive,0.12.5,Apache-2.0 OR MIT
rust,askama_derive,0.14.0,Apache-2.0 OR MIT
rust,askama_escape,0.10.3,Apache-2.0 OR MIT
rust,askama_parser,0.14.0,Apache-2.0 OR MIT
rust,askama_parser,0.2.1,Apache-2.0 OR MIT
rust,asn1-rs,0.7.1,Apache-2.0 OR MIT
rust,asn1-rs-derive,0.6.0,Apache-2.0 OR MIT
rust,asn1-rs-impl,0.2.0,Apache-2.0 OR MIT
rust,async-compat,0.2.5,Apache-2.0 OR MIT
rust,async_io_stream,0.3.3,Unlicense
rust,async-trait,0.1.89,Apache-2.0 OR MIT
rust,atomic-polyfill,1.0.3,Apache-2.0 OR MIT
rust,atomic-waker,1.1.2,Apache-2.0 OR MIT
rust,attohttpc,0.30.1,MPL-2.0
rust,autocfg,1.5.0,Apache-2.0 OR MIT
rust,automerge,0.7.2,MIT
rust,aws-lc-rs,1.15.2,(Apache-2.0 OR ISC) AND ISC
rust,aws-lc-sys,0.35.0,(Apache-2.0 OR ISC) AND ISC AND OpenSSL
rust,axum,0.7.9,MIT
rust,axum-core,0.4.5,MIT
rust,axum-macros,0.4.2,MIT
rust,backon,1.6.0,Apache-2.0
rust,backtrace,0.3.76,Apache-2.0 OR MIT
rust,bao-tree,0.16.0,Apache-2.0 OR MIT
rust,base16ct,1.0.0,Apache-2.0 OR MIT
rust,base32,0.5.1,Apache-2.0 OR MIT
rust,base64,0.22.1,Apache-2.0 OR MIT
rust,base64ct,1.8.2,Apache-2.0 OR MIT
rust,basic-toml,0.1.10,Apache-2.0 OR MIT
rust,binary-merge,0.1.2,Apache-2.0 OR MIT
rust,bincode,1.3.3,MIT
rust,bitflags,1.3.2,Apache-2.0 OR MIT
rust,bitflags,2.10.0,Apache-2.0 OR MIT
rust,bit-set,0.8.0,Apache-2.0 OR MIT
rust,bit-vec,0.8.0,Apache-2.0 OR MIT
rust,blake2,0.10.6,Apache-2.0 OR MIT
rust,blake3,1.8.3,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR CC0-1.0
rust,block2,0.5.1,MIT
rust,block-buffer,0.10.4,Apache-2.0 OR MIT
rust,block-buffer,0.11.0,Apache-2.0 OR MIT
rust,bluer,0.17.4,BSD-2-Clause
