NodeCount,Bandwidth,Connections,CRDT_P50_ms,CRDT_P95_ms,CRDT_P99_ms,CRDT_Max_ms,Total_Updates,Status
5,1gbps,10,0.266,0.356,0.356,0.356,20,PASS
5,100mbps,10,0.252,0.401,0.401,0.401,20,PASS
5,1mbps,10,0.276,0.322,0.322,0.322,20,PASS
5,256kbps,10,0.266,0.362,0.362,0.362,20,PASS
10,1gbps,45,0.265,0.319,0.319,0.319,20,PASS
10,100mbps,45,0.260,0.427,0.427,0.427,20,PASS
10,1mbps,45,0.259,0.322,0.322,0.322,20,PASS
10,256kbps,45,0.260,0.396,0.396,0.396,20,PASS
15,1gbps,105,0.262,0.460,0.460,0.460,20,PASS
15,100mbps,105,0.234,0.507,0.507,0.507,20,PASS
15,1mbps,105,0.253,0.322,0.322,0.322,20,PASS
15,256kbps,105,0.242,0.384,0.384,0.384,20,PASS
20,1gbps,190,0.218,0.293,0.293,0.293,20,PASS
20,100mbps,190,0.251,0.300,0.300,0.300,20,PASS
20,1mbps,190,0.220,0.278,0.278,0.278,20,PASS
20,256kbps,190,0.255,0.299,0.299,0.299,20,PASS
30,1gbps,435,0.205,0.426,0.426,0.426,20,PASS
30,100mbps,435,0.239,0.281,0.281,0.281,20,PASS
30,1mbps,435,0.256,0.296,0.296,0.296,20,PASS
30,256kbps,435,0.212,0.339,0.339,0.339,20,PASS
50,1gbps,1225,0.238,0.308,0.308,0.308,20,PASS
50,100mbps,1225,0.189,0.297,0.297,0.297,20,PASS
50,1mbps,1225,0.230,0.306,0.306,0.306,20,PASS
50,256kbps,1225,0.237,0.841,0.841,0.841,20,PASS
