NodeCount,Bandwidth,Connections,CRDT_P50_ms,CRDT_P95_ms,CRDT_P99_ms,CRDT_Max_ms,Total_Updates,Status
5,1gbps,10,1.980,4.387,4.387,4.387,20,PASS
5,100mbps,10,4.451,5.546,5.546,5.546,20,PASS
5,1mbps,10,2.224,5.684,5.684,5.684,20,PASS
5,256kbps,10,2.204,5.700,5.700,5.700,20,PASS
10,1gbps,45,5.351,5.606,5.606,5.606,20,PASS
10,100mbps,45,2.146,3.436,3.436,3.436,20,PASS
10,1mbps,45,2.229,36.633,36.633,36.633,20,PASS
10,256kbps,45,2.173,6.262,6.262,6.262,20,PASS
15,1gbps,105,2.128,5.297,5.297,5.297,20,PASS
15,100mbps,105,1.819,2.072,2.072,2.072,20,PASS
15,1mbps,105,5.313,46.233,46.233,46.233,20,PASS
15,256kbps,105,1.868,3.701,3.701,3.701,20,PASS
20,1gbps,190,5.434,155.277,155.277,155.277,20,PASS
20,100mbps,190,5.553,59.845,59.845,59.845,20,PASS
20,1mbps,190,5.350,10.266,10.266,10.266,20,PASS
20,256kbps,190,5.691,12.164,12.164,12.164,20,PASS
30,1gbps,435,9.971,997.239,997.239,997.239,20,PASS
30,100mbps,435,10.278,81.853,81.853,81.853,20,PASS
30,1mbps,435,8.483,265.765,265.765,265.765,20,PASS
30,256kbps,435,8.832,12.961,12.961,12.961,20,PASS
50,1gbps,1225,46.308,1028.311,1028.311,1028.311,20,PASS
50,100mbps,1225,77.749,1005.911,1005.911,1005.911,20,PASS
50,1mbps,1225,49.772,771.686,771.686,771.686,20,PASS
50,256kbps,1225,0,0,0,0,0
0,PASS
