NodeCount,Bandwidth,Topology,Soldier_to_Squad_P50_ms,Soldier_to_Squad_P95_ms,Squad_to_Platoon_P50_ms,Squad_to_Platoon_P95_ms,Aggregation_Ratio,Total_Ops,Status
24,1gbps,1_platoon_3_squads,0,0,83.044,230.542,6,46118,PASS
24,100mbps,1_platoon_3_squads,0,0,97.097,220.508,6,41482,PASS
24,1mbps,1_platoon_3_squads,0,0,95.973,228.728,6,40589,PASS
24,256kbps,1_platoon_3_squads,0,0,98.938,227.527,6,39203,PASS
48,1gbps,2_platoons_6_squads,0,0,247.272,30739.296,4,106052,PASS
48,100mbps,2_platoons_6_squads,0,0,243.294,29438.802,4,109472,PASS
48,1mbps,2_platoons_6_squads,0,0,242.138,29805.067,4,109049,PASS
48,256kbps,2_platoons_6_squads,0,0,255.743,31155.377,4,101953,PASS
96,1gbps,4_platoons_12_squads,0,0,473.9,1364.634,4,151640,PASS
96,100mbps,4_platoons_12_squads,0,0,530.411,1549.592,4,121540,PASS
96,1mbps,4_platoons_12_squads,0,0,499.802,1356.928,4,131003,PASS
96,256kbps,4_platoons_12_squads,0,0,531.464,1446.295,4,125829,PASS
384,1gbps,multi_company_384n,0,0,0,0,0,0,0,0,FAIL
384,100mbps,multi_company_384n,0,0,0,0,0,0,0,0,FAIL
384,1mbps,multi_company_384n,0,0,0,0,0,0,0,0,FAIL
384,256kbps,multi_company_384n,0,0,0,0,0,0,0,0,FAIL
1000,1gbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,100mbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,1mbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
1000,256kbps,battalion_1000n,0,0,0,0,0,0,0,0,FAIL
