NodeCount,Bandwidth,Ingress_P50_ms,Ingress_P95_ms,Ingress_P99_ms,Ingress_Max_ms,Server_TotalMessages,Status
24,1gbps,0.106,0.145,0.18,0.208,480,PASS
24,100mbps,0.109,0.139,0.17,0.218,480,PASS
24,1mbps,0.109,0.138,0.184,0.191,480,PASS
24,256kbps,0.111,0.148,0.185,0.232,480,PASS
48,1gbps,0.11,0.143,0.183,0.225,960,PASS
48,100mbps,0.13,0.16,0.19,0.226,960,PASS
48,1mbps,0.127,0.167,0.195,0.273,960,PASS
48,256kbps,0.109,0.144,0.178,0.252,960,PASS
96,1gbps,0.115,0.145,0.18,0.224,1920,PASS
96,100mbps,0.112,0.15,0.184,0.274,1920,PASS
96,1mbps,0.089,0.136,0.18,0.322,1920,PASS
96,256kbps,0.093,0.136,0.163,0.24,1920,PASS
192,1gbps,0.078,0.142,0.184,0.259,3840,PASS
192,100mbps,0.067,0.13,0.156,1.656,3840,PASS
192,1mbps,0.067,0.13,0.154,2.193,3840,PASS
192,256kbps,0.068,0.13,0.153,2.287,3840,PASS
384,1gbps,0.065,0.122,0.148,0.563,5040,PASS
384,100mbps,0.069,0.137,0.187,2.497,5040,PASS
384,1mbps,0.065,0.119,0.14,1.084,5040,PASS
384,256kbps,0.065,0.121,0.142,1.278,5040,PASS
500,1gbps,0.065,0.124,0.148,3.181,5040,PASS
500,100mbps,0.069,0.137,0.187,2.743,5040,PASS
500,1mbps,0.065,0.124,0.154,1.772,5040,PASS
500,256kbps,0.066,0.128,0.161,1.35,5040,PASS
750,1gbps,0.067,0.133,0.182,5.136,5040,PASS
750,100mbps,0.065,0.119,0.159,2.928,5040,PASS
750,1mbps,0.066,0.127,0.176,1.794,5040,PASS
750,256kbps,0.065,0.128,0.182,2.302,5040,PASS
1000,1gbps,0.068,0.136,0.195,2.014,5040,PASS
1000,100mbps,0.066,0.133,0.179,2.457,5040,PASS
1000,1mbps,0.066,0.127,0.192,3.083,5040,PASS
1000,256kbps,0.067,0.141,0.343,2.342,5040,PASS
