timestamp,cpu_count,mem_total_gb,mem_used_gb,mem_free_gb,mem_avail_gb,mem_percent,docker_containers
1764352261,32,124,11,16,110,9.6,0
1764352266,32,124,13,15,109,10.5,152
1764352271,32,124,14,14,108,11.5,310
1764352276,32,124,15,13,107,12.1,414
1764352281,32,124,15,12,107,12.4,463
1764352286,32,124,16,12,106,12.8,526
1764352291,32,124,16,11,106,13.1,556
1764352296,32,124,16,11,106,13.2,585
1764352302,32,124,16,11,105,13.4,616
1764352307,32,124,17,11,105,13.7,651
1764352312,32,124,17,10,105,13.8,686
1764352317,32,124,17,11,105,13.7,686
1764352322,32,124,17,11,105,13.7,686
1764352327,32,124,17,11,105,13.7,686
1764352332,32,124,17,11,105,13.7,686
1764352337,32,124,17,11,105,13.7,686
1764352342,32,124,17,11,105,13.7,686
1764352347,32,124,17,11,105,13.7,686
1764352352,32,124,17,11,105,13.6,686
1764352357,32,124,17,11,105,13.7,686
1764352362,32,124,17,11,105,13.7,686
1764352367,32,124,17,11,105,13.7,686
1764352372,32,124,17,11,105,13.7,686
1764352378,32,124,17,11,105,13.7,686
1764352383,32,124,17,11,105,13.7,686
1764352388,32,124,17,10,105,13.7,686
1764352393,32,124,17,10,105,13.7,686
1764352398,32,124,17,10,105,13.7,686
1764352403,32,124,17,10,105,13.7,686
1764352408,32,124,17,10,105,13.7,686
1764352413,32,124,17,10,105,13.7,686
1764352418,32,124,17,10,105,13.7,686
1764352423,32,124,17,10,105,13.7,686
1764352428,32,124,17,10,105,13.7,686
1764352433,32,124,17,10,105,13.7,686
1764352438,32,124,17,10,105,13.7,686
1764352443,32,124,17,10,105,13.7,686
1764352448,32,124,17,10,105,13.7,686
1764352453,32,124,17,10,105,13.7,686
1764352459,32,124,17,10,105,13.8,686
1764352464,32,124,17,10,105,13.7,686
1764352469,32,124,17,10,105,13.8,686
1764352474,32,124,17,10,105,13.8,686
1764352479,32,124,17,10,105,13.8,686
1764352484,32,124,17,10,105,13.9,686
1764352489,32,124,17,10,105,13.9,686
